Date,Close,Open,High,Low,Volume,Change %
2018-03-23,7970.8,7980.66,7980.66,7923.65,105200.0,-1.89%
2018-03-26,7932.38,7948.05,7949.61,7834.11,87670.0,-0.48%
2018-03-27,8047.03,7947.21,8047.03,7947.21,97590.0,1.45%
2018-03-28,7979.83,8016.35,8056.22,7967.28,121790.0,-0.84%
2018-04-02,8039.45,7993.63,8039.45,7944.86,61920.0,0.75%
2018-04-03,8048.72,7976.33,8071.68,7976.33,121020.0,0.12%
2018-04-04,7997.67,8084.93,8084.93,7991.6,86140.0,-0.63%
2018-04-05,8022.16,8035.64,8043.66,7988.37,59460.0,0.31%
2018-04-06,7945.66,8018.77,8047.7,7901.79,76650.0,-0.95%
2018-04-10,7934.68,7946.45,7984.64,7890.31,119550.0,-0.14%
2018-04-11,7943.93,7958.33,7990.98,7930.66,92670.0,0.12%
2018-04-12,8043.07,7962.66,8043.07,7951.09,85630.0,1.25%
2018-04-13,7899.98,8031.23,8031.23,7899.98,127000.0,-1.78%
2018-04-16,7870.25,7928.99,7928.99,7845.47,83350.0,-0.38%
2018-04-17,7723.39,7861.72,7861.72,7691.79,128360.00000000001,-1.87%
2018-04-18,7793.13,7743.14,7828.85,7743.14,125310.0,0.90%
2018-04-19,7682.24,7689.35,7756.4,7537.42,303920.0,-1.42%
2018-04-20,7726.72,7698.08,7783.55,7691.93,119100.0,0.58%
2018-04-23,7719.47,7736.09,7746.86,7663.53,96680.0,-0.09%
2018-04-24,7600.36,7704.18,7704.27,7600.36,104160.0,-1.54%
2018-04-25,7557.91,7595.49,7636.57,7526.3,112220.0,-0.56%
2018-04-26,7617.42,7544.02,7617.42,7529.13,81790.0,0.79%
2018-04-27,7721.02,7631.44,7721.02,7604.54,129380.0,1.36%
2018-04-30,7819.25,7726.96,7822.84,7726.27,135550.0,1.27%
2018-05-02,7736.07,7791.63,7856.5,7736.07,101850.0,-1.06%
2018-05-03,7535.1,7792.41,7792.41,7535.1,144840.0,-2.60%
2018-05-04,7546.19,7541.0,7558.31,7499.26,94480.0,0.15%
2018-05-07,7533.28,7578.8,7581.72,7517.09,60640.0,-0.17%
2018-05-08,7577.57,7544.1,7615.22,7543.35,108820.0,0.59%
2018-05-09,7555.27,7587.68,7590.8,7535.93,108030.0,-0.29%
